,ISO_1,LangName_1,ISO_2,LangName_2,Similarity,Robustness
1148,arb,Standard Arabic,cym,Welsh,0.146,High
1149,arb,Standard Arabic,dan,Danish,0.198,High
1150,arb,Standard Arabic,deu,German,0.238,High
1154,arb,Standard Arabic,ell,Modern Greek,0.191,High
1155,arb,Standard Arabic,eng,English,0.189,High
1158,arb,Standard Arabic,eus,Basque,0.275,High
1162,arb,Standard Arabic,fin,Finnish,0.181,High
1163,arb,Standard Arabic,fra,French,0.272,High
1168,arb,Standard Arabic,gle,Irish,0.265,High
1169,arb,Standard Arabic,glg,Galician,0.265,High
1173,arb,Standard Arabic,guj,Gujarati,0.59,High
1178,arb,Standard Arabic,heb,Hebrew,0.392,High
1179,arb,Standard Arabic,hin,Hindi,0.434,High
1180,arb,Standard Arabic,hrv,Croatian,0.254,High
1182,arb,Standard Arabic,hun,Hungarian,0.279,High
1183,arb,Standard Arabic,hye,Armenian,0.332,High
1185,arb,Standard Arabic,ind,Indonesian,0.577,High
1186,arb,Standard Arabic,isl,Icelandic,0.122,High
1187,arb,Standard Arabic,ita,Italian,0.29,High
1189,arb,Standard Arabic,jav,Javanese,0.414,Low
1190,arb,Standard Arabic,jpn,Japanese,0.136,High
1195,arb,Standard Arabic,kan,Kannada,0.178,High
1197,arb,Standard Arabic,kat,Georgian,0.321,High
1198,arb,Standard Arabic,kaz,Kazakh,0.536,Medium
1199,arb,Standard Arabic,khm,Khmer,0.119,Medium
1202,arb,Standard Arabic,kir,Kirghiz,0.487,Medium
1206,arb,Standard Arabic,kor,Korean,0.153,High
1212,arb,Standard Arabic,lao,Lao,0.118,Medium
1219,arb,Standard Arabic,lit,Lithuanian,0.218,High
1223,arb,Standard Arabic,lug,Ganda,0.111,Medium
1224,arb,Standard Arabic,luo,Luo,0.053,Medium
1226,arb,Standard Arabic,mal,Malayalam,0.186,High
1227,arb,Standard Arabic,mar,Marathi,0.18,High
1230,arb,Standard Arabic,mkd,Macedonian,0.462,High
1231,arb,Standard Arabic,mlt,Maltese,1.352,Medium
1232,arb,Standard Arabic,mni,Manipuri,0.118,High
1238,arb,Standard Arabic,mya,Burmese,0.148,Medium
1246,arb,Standard Arabic,nld,Dutch,0.246,High
1247,arb,Standard Arabic,nno,Norwegian Nynorsk,0.255,High
1248,arb,Standard Arabic,nob,Norwegian Bokmål,0.198,High
1251,arb,Standard Arabic,nya,Nyanja,0.062,Medium
1256,arb,Standard Arabic,pan,Panjabi,0.73,High
1261,arb,Standard Arabic,pol,Polish,0.244,High
1262,arb,Standard Arabic,por,Portuguese,0.363,High
1265,arb,Standard Arabic,ron,Romanian,0.251,High
1268,arb,Standard Arabic,rus,Russian,0.231,High
1279,arb,Standard Arabic,slk,Slovak,0.25,High
1280,arb,Standard Arabic,slv,Slovenian,0.219,High
1284,arb,Standard Arabic,snd,Sindhi,0.206,Low
1285,arb,Standard Arabic,som,Somali,0.184,Low
1287,arb,Standard Arabic,spa,Spanish,0.284,High
1294,arb,Standard Arabic,swe,Swedish,0.212,High
1295,arb,Standard Arabic,tam,Tamil,0.094,High
1297,arb,Standard Arabic,tel,Telugu,0.107,High
1298,arb,Standard Arabic,tgk,Tajik,1.481,Medium
1299,arb,Standard Arabic,tgl,Tagalog,0.314,Medium
1300,arb,Standard Arabic,tha,Thai,0.085,High
1306,arb,Standard Arabic,tur,Turkish,1.247,High
1310,arb,Standard Arabic,ukr,Ukrainian,0.232,High
1311,arb,Standard Arabic,urd,Urdu,1.061,High
1314,arb,Standard Arabic,vie,Vietnamese,0.169,High
1323,arb,Standard Arabic,yor,Yoruba,0.047,Medium
1324,arb,Standard Arabic,yue,Yue Chinese,0.061,Medium
1326,arb,Standard Arabic,zsm,Standard Malay,0.519,High
1327,arb,Standard Arabic,zul,Zulu,0.092,High
1561,ary,Moroccan Arabic,arz,Egyptian Arabic,3.329,Medium
1562,ary,Moroccan Arabic,asm,Assamese,0.055,Medium
1566,ary,Moroccan Arabic,ben,Bengali,0.051,Medium
1568,ary,Moroccan Arabic,bul,Bulgarian,0.054,Medium
1569,ary,Moroccan Arabic,cat,Catalan,0.097,Medium
1570,ary,Moroccan Arabic,ces,Czech,0.044,Medium
1574,ary,Moroccan Arabic,deu,German,0.072,Medium
1576,ary,Moroccan Arabic,ell,Modern Greek,0.044,Medium
1577,ary,Moroccan Arabic,eng,English,0.047,Medium
1580,ary,Moroccan Arabic,eus,Basque,0.078,Medium
1583,ary,Moroccan Arabic,fin,Finnish,0.033,Medium
1584,ary,Moroccan Arabic,fra,French,0.147,Medium
1587,ary,Moroccan Arabic,glg,Galician,0.092,Medium
1588,ary,Moroccan Arabic,heb,Hebrew,0.06,Medium
1589,ary,Moroccan Arabic,hin,Hindi,0.113,Medium
1590,ary,Moroccan Arabic,hrv,Croatian,0.03,Medium
1592,ary,Moroccan Arabic,ind,Indonesian,0.02,Medium
1593,ary,Moroccan Arabic,ita,Italian,0.074,Medium
1594,ary,Moroccan Arabic,kat,Georgian,0.075,Medium
1595,ary,Moroccan Arabic,kaz,Kazakh,0.21,Medium
1596,ary,Moroccan Arabic,khm,Khmer,0.107,Medium
1598,ary,Moroccan Arabic,kir,Kirghiz,0.149,Medium
1602,ary,Moroccan Arabic,mkd,Macedonian,0.139,Medium
1603,ary,Moroccan Arabic,mlt,Maltese,0.478,Medium
1611,ary,Moroccan Arabic,nld,Dutch,0.127,Medium
1612,ary,Moroccan Arabic,nya,Nyanja,0.327,Low
1614,ary,Moroccan Arabic,pan,Panjabi,0.101,Medium
1617,ary,Moroccan Arabic,pol,Polish,0.031,Medium
1618,ary,Moroccan Arabic,por,Portuguese,0.135,Medium
1620,ary,Moroccan Arabic,ron,Romanian,0.064,Medium
1621,ary,Moroccan Arabic,rus,Russian,0.055,Medium
1624,ary,Moroccan Arabic,slk,Slovak,0.036,Medium
1625,ary,Moroccan Arabic,slv,Slovenian,0.064,Medium
1627,ary,Moroccan Arabic,snd,Sindhi,0.36,Low
1629,ary,Moroccan Arabic,spa,Spanish,0.092,Medium
1633,ary,Moroccan Arabic,swe,Swedish,0.054,Medium
1635,ary,Moroccan Arabic,tgk,Tajik,0.138,Medium
1636,ary,Moroccan Arabic,tgl,Tagalog,0.112,Medium
1642,ary,Moroccan Arabic,tur,Turkish,0.342,Medium
1644,ary,Moroccan Arabic,ukr,Ukrainian,0.063,Medium
1645,ary,Moroccan Arabic,urd,Urdu,0.299,Medium
1649,ary,Moroccan Arabic,zsm,Standard Malay,0.032,Medium
1650,ary,Moroccan Arabic,zul,Zulu,0.139,Medium
1651,arz,Egyptian Arabic,asm,Assamese,0.364,Medium
1657,arz,Egyptian Arabic,bel,Belarusian,0.106,Medium
1658,arz,Egyptian Arabic,ben,Bengali,0.218,Medium
1661,arz,Egyptian Arabic,bul,Bulgarian,0.098,Medium
1663,arz,Egyptian Arabic,cat,Catalan,0.117,Medium
1665,arz,Egyptian Arabic,ces,Czech,0.107,Medium
1671,arz,Egyptian Arabic,cmn,Mandarin Chinese,0.041,Medium
1674,arz,Egyptian Arabic,cym,Welsh,0.153,Medium
1675,arz,Egyptian Arabic,dan,Danish,0.139,Medium
1676,arz,Egyptian Arabic,deu,German,0.087,Medium
1678,arz,Egyptian Arabic,ell,Modern Greek,0.159,Medium
1679,arz,Egyptian Arabic,eng,English,0.057,Medium
1682,arz,Egyptian Arabic,eus,Basque,0.071,Medium
1685,arz,Egyptian Arabic,fin,Finnish,0.06,Medium
1686,arz,Egyptian Arabic,fra,French,0.071,Medium
1691,arz,Egyptian Arabic,gle,Irish,0.086,Medium
1692,arz,Egyptian Arabic,glg,Galician,0.112,Medium
1696,arz,Egyptian Arabic,guj,Gujarati,0.33,Medium
1699,arz,Egyptian Arabic,heb,Hebrew,0.073,Medium
1700,arz,Egyptian Arabic,hin,Hindi,0.252,Medium
1701,arz,Egyptian Arabic,hrv,Croatian,0.11,Medium
1702,arz,Egyptian Arabic,hun,Hungarian,0.16,Medium
1703,arz,Egyptian Arabic,hye,Armenian,0.22,Medium
1704,arz,Egyptian Arabic,ind,Indonesian,0.13,Medium
1705,arz,Egyptian Arabic,isl,Icelandic,0.11,Medium
1706,arz,Egyptian Arabic,ita,Italian,0.09,Medium
1708,arz,Egyptian Arabic,jpn,Japanese,0.07,Medium
1711,arz,Egyptian Arabic,kan,Kannada,0.155,Medium
1713,arz,Egyptian Arabic,kat,Georgian,0.181,Medium
1714,arz,Egyptian Arabic,kaz,Kazakh,0.445,Medium
1715,arz,Egyptian Arabic,khm,Khmer,0.13,Medium
1716,arz,Egyptian Arabic,kir,Kirghiz,0.54,Medium
1720,arz,Egyptian Arabic,kor,Korean,0.031,Medium
1725,arz,Egyptian Arabic,lao,Lao,0.257,Medium
1728,arz,Egyptian Arabic,luo,Luo,0.159,Medium
1729,arz,Egyptian Arabic,mal,Malayalam,0.117,Medium
1730,arz,Egyptian Arabic,mar,Marathi,0.232,Medium
1731,arz,Egyptian Arabic,mkd,Macedonian,0.252,Medium
1732,arz,Egyptian Arabic,mlt,Maltese,0.507,Medium
1733,arz,Egyptian Arabic,mni,Manipuri,0.189,Medium
1737,arz,Egyptian Arabic,mya,Burmese,0.095,Medium
1741,arz,Egyptian Arabic,nld,Dutch,0.212,Medium
1742,arz,Egyptian Arabic,nno,Norwegian Nynorsk,0.215,Medium
1743,arz,Egyptian Arabic,nob,Norwegian Bokmål,0.169,Medium
1749,arz,Egyptian Arabic,pan,Panjabi,0.367,Medium
1751,arz,Egyptian Arabic,pol,Polish,0.056,Medium
1752,arz,Egyptian Arabic,por,Portuguese,0.123,Medium
1755,arz,Egyptian Arabic,ron,Romanian,0.078,Medium
1757,arz,Egyptian Arabic,rus,Russian,0.05,Medium
1762,arz,Egyptian Arabic,slk,Slovak,0.022,Medium
1763,arz,Egyptian Arabic,slv,Slovenian,0.039,Medium
1766,arz,Egyptian Arabic,snd,Sindhi,0.654,Low
1767,arz,Egyptian Arabic,som,Somali,0.275,Low
1769,arz,Egyptian Arabic,spa,Spanish,0.112,Medium
1772,arz,Egyptian Arabic,swe,Swedish,0.066,Medium
1773,arz,Egyptian Arabic,tam,Tamil,0.118,Medium
1775,arz,Egyptian Arabic,tel,Telugu,0.123,Medium
1776,arz,Egyptian Arabic,tgk,Tajik,0.839,Medium
1777,arz,Egyptian Arabic,tgl,Tagalog,0.204,Medium
1778,arz,Egyptian Arabic,tha,Thai,0.068,Medium
1783,arz,Egyptian Arabic,tur,Turkish,0.518,Medium
1786,arz,Egyptian Arabic,ukr,Ukrainian,0.115,Medium
1787,arz,Egyptian Arabic,urd,Urdu,0.968,Medium
1790,arz,Egyptian Arabic,vie,Vietnamese,0.143,Medium
1796,arz,Egyptian Arabic,zsm,Standard Malay,0.175,Medium
1797,arz,Egyptian Arabic,zul,Zulu,0.126,Medium
1805,asm,Assamese,bel,Belarusian,0.669,High
1806,asm,Assamese,ben,Bengali,21.982,High
1812,asm,Assamese,bul,Bulgarian,0.57,High
1814,asm,Assamese,cat,Catalan,0.786,High
1816,asm,Assamese,ceb,Cebuano,0.646,Medium
1817,asm,Assamese,ces,Czech,0.656,High
1825,asm,Assamese,ckb,Central Kurdish,0.19,Medium
1826,asm,Assamese,cmn,Mandarin Chinese,0.09,High
1832,asm,Assamese,cym,Welsh,0.609,High
1833,asm,Assamese,dan,Danish,0.77,High
1834,asm,Assamese,deu,German,0.746,High
1839,asm,Assamese,ell,Modern Greek,0.531,High
1840,asm,Assamese,eng,English,0.76,High
1843,asm,Assamese,eus,Basque,0.63,High
1850,asm,Assamese,fin,Finnish,0.348,High
1851,asm,Assamese,fra,French,0.696,High
1858,asm,Assamese,gle,Irish,0.806,High
1859,asm,Assamese,glg,Galician,0.658,High
1863,asm,Assamese,guj,Gujarati,14.399,High
1867,asm,Assamese,heb,Hebrew,0.295,High
1870,asm,Assamese,hin,Hindi,3.278,High
1871,asm,Assamese,hrv,Croatian,0.665,High
1873,asm,Assamese,hun,Hungarian,0.623,High
1874,asm,Assamese,hye,Armenian,0.516,High
1876,asm,Assamese,ind,Indonesian,0.647,High
1877,asm,Assamese,isl,Icelandic,0.468,High
1878,asm,Assamese,ita,Italian,0.822,High
1881,asm,Assamese,jav,Javanese,0.911,Low
1882,asm,Assamese,jpn,Japanese,0.54,High
1887,asm,Assamese,kan,Kannada,8.468,High
1889,asm,Assamese,kat,Georgian,0.408,High
1890,asm,Assamese,kaz,Kazakh,0.805,Medium
1892,asm,Assamese,khm,Khmer,0.563,Medium
1895,asm,Assamese,kir,Kirghiz,0.899,Medium
1900,asm,Assamese,kor,Korean,0.349,High
1905,asm,Assamese,lao,Lao,0.345,Medium
1911,asm,Assamese,lit,Lithuanian,0.53,High
1916,asm,Assamese,lug,Ganda,0.074,Medium
1917,asm,Assamese,luo,Luo,0.642,Medium
1920,asm,Assamese,mal,Malayalam,5.54,High
1921,asm,Assamese,mar,Marathi,2.2,High
1926,asm,Assamese,mkd,Macedonian,0.943,High
1927,asm,Assamese,mlt,Maltese,1.044,Medium
1928,asm,Assamese,mni,Manipuri,2.55,High
1934,asm,Assamese,mya,Burmese,0.196,Medium
1941,asm,Assamese,nld,Dutch,1.102,High
1942,asm,Assamese,nno,Norwegian Nynorsk,0.991,High
1943,asm,Assamese,nob,Norwegian Bokmål,0.786,High
1950,asm,Assamese,pan,Panjabi,10.953,High
1957,asm,Assamese,pol,Polish,0.559,High
1958,asm,Assamese,por,Portuguese,1.006,High
1961,asm,Assamese,ron,Romanian,0.557,High
1964,asm,Assamese,rus,Russian,0.467,High
1973,asm,Assamese,slk,Slovak,0.497,High
1974,asm,Assamese,slv,Slovenian,0.563,High
1978,asm,Assamese,sna,Shona,0.179,Low
1979,asm,Assamese,snd,Sindhi,0.494,Low
1980,asm,Assamese,som,Somali,0.79,Low
1982,asm,Assamese,spa,Spanish,0.758,High
